schema_name,table_name,table_type,domain,ordinal_position,column_name,data_type,nullable,description,design_origin,is_primary_key
bank_dwh,dim_date,dimension,conformed,1,date_key,BIGINT,False,Synthetic surrogate key for dim_date.,structural,True
bank_dwh,dim_date,dimension,conformed,2,calendar_date,DATE,False,Calendar attribute: calendar date.,calendar,False
bank_dwh,dim_date,dimension,conformed,3,day_of_week_number,BIGINT,False,Calendar attribute: day of week number.,calendar,False
bank_dwh,dim_date,dimension,conformed,4,day_of_week_name,VARCHAR(200),False,Calendar attribute: day of week name.,calendar,False
bank_dwh,dim_date,dimension,conformed,5,day_of_month_number,BIGINT,False,Calendar attribute: day of month number.,calendar,False
bank_dwh,dim_date,dimension,conformed,6,day_of_year_number,BIGINT,False,Calendar attribute: day of year number.,calendar,False
bank_dwh,dim_date,dimension,conformed,7,week_of_year_number,BIGINT,False,Calendar attribute: week of year number.,calendar,False
bank_dwh,dim_date,dimension,conformed,8,iso_week_number,BIGINT,False,Calendar attribute: iso week number.,calendar,False
bank_dwh,dim_date,dimension,conformed,9,month_number,BIGINT,False,Calendar attribute: month number.,calendar,False
bank_dwh,dim_date,dimension,conformed,10,month_name,VARCHAR(200),False,Calendar attribute: month name.,calendar,False
bank_dwh,dim_date,dimension,conformed,11,month_short_name,VARCHAR(200),False,Calendar attribute: month short name.,calendar,False
bank_dwh,dim_date,dimension,conformed,12,quarter_number,BIGINT,False,Calendar attribute: quarter number.,calendar,False
bank_dwh,dim_date,dimension,conformed,13,quarter_name,VARCHAR(200),False,Calendar attribute: quarter name.,calendar,False
bank_dwh,dim_date,dimension,conformed,14,calendar_year_number,BIGINT,False,Calendar attribute: calendar year number.,calendar,False
bank_dwh,dim_date,dimension,conformed,15,calendar_year_month_code,VARCHAR(50),False,Calendar attribute: calendar year month code.,calendar,False
bank_dwh,dim_date,dimension,conformed,16,fiscal_year_number,BIGINT,False,Calendar attribute: fiscal year number.,calendar,False
bank_dwh,dim_date,dimension,conformed,17,fiscal_quarter_number,BIGINT,False,Calendar attribute: fiscal quarter number.,calendar,False
bank_dwh,dim_date,dimension,conformed,18,fiscal_month_number,BIGINT,False,Calendar attribute: fiscal month number.,calendar,False
bank_dwh,dim_date,dimension,conformed,19,fiscal_week_number,BIGINT,False,Calendar attribute: fiscal week number.,calendar,False
bank_dwh,dim_date,dimension,conformed,20,is_weekend,BOOLEAN,False,Calendar attribute: is weekend.,calendar,False
bank_dwh,dim_date,dimension,conformed,21,is_business_day,BOOLEAN,False,Calendar attribute: is business day.,calendar,False
bank_dwh,dim_date,dimension,conformed,22,is_month_end,BOOLEAN,False,Calendar attribute: is month end.,calendar,False
bank_dwh,dim_date,dimension,conformed,23,is_quarter_end,BOOLEAN,False,Calendar attribute: is quarter end.,calendar,False
bank_dwh,dim_date,dimension,conformed,24,is_year_end,BOOLEAN,False,Calendar attribute: is year end.,calendar,False
bank_dwh,dim_date,dimension,conformed,25,is_public_holiday,BOOLEAN,False,Calendar attribute: is public holiday.,calendar,False
bank_dwh,dim_date,dimension,conformed,26,holiday_name,VARCHAR(200),False,Calendar attribute: holiday name.,calendar,False
bank_dwh,dim_date,dimension,conformed,27,prior_business_date_key,BIGINT,False,Calendar attribute: prior business date key.,calendar,False
bank_dwh,dim_date,dimension,conformed,28,next_business_date_key,BIGINT,False,Calendar attribute: next business date key.,calendar,False
bank_dwh,dim_date,dimension,conformed,29,prior_date_key,BIGINT,False,Calendar attribute: prior date key.,calendar,False
bank_dwh,dim_date,dimension,conformed,30,next_date_key,BIGINT,False,Calendar attribute: next date key.,calendar,False
bank_dwh,dim_date,dimension,conformed,31,month_start_date,DATE,False,Calendar attribute: month start date.,calendar,False
bank_dwh,dim_date,dimension,conformed,32,quarter_start_date,DATE,False,Calendar attribute: quarter start date.,calendar,False
bank_dwh,dim_time,dimension,conformed,1,time_key,BIGINT,False,Synthetic surrogate key for dim_time.,structural,True
bank_dwh,dim_time,dimension,conformed,2,time_24h,VARCHAR(120),False,Time attribute: time 24h.,calendar,False
bank_dwh,dim_time,dimension,conformed,3,hour_number,BIGINT,False,Time attribute: hour number.,calendar,False
bank_dwh,dim_time,dimension,conformed,4,minute_number,BIGINT,False,Time attribute: minute number.,calendar,False
bank_dwh,dim_time,dimension,conformed,5,second_number,BIGINT,False,Time attribute: second number.,calendar,False
bank_dwh,dim_time,dimension,conformed,6,minute_of_day_number,BIGINT,False,Time attribute: minute of day number.,calendar,False
bank_dwh,dim_time,dimension,conformed,7,second_of_day_number,BIGINT,False,Time attribute: second of day number.,calendar,False
bank_dwh,dim_time,dimension,conformed,8,hour_12_number,BIGINT,False,Time attribute: hour 12 number.,calendar,False
bank_dwh,dim_time,dimension,conformed,9,am_pm_code,VARCHAR(50),False,Time attribute: am pm code.,calendar,False
bank_dwh,dim_time,dimension,conformed,10,time_bucket_15m_code,VARCHAR(50),False,Time attribute: time bucket 15m code.,calendar,False
bank_dwh,dim_time,dimension,conformed,11,time_bucket_30m_code,VARCHAR(50),False,Time attribute: time bucket 30m code.,calendar,False
